3m_buy,3m_overweight,3m_hold,3m_underweight,3m_sell,1m_buy,1m_overweight,1m_hold,1m_underweight,1m_sell,curr_buy,curr_overweight,curr_hold,curr_underweight,curr_sell
10,1,9,0,0,9,1,9,0,0,9,1,8,1,0
13,1,5,0,1,15,0,7,0,0,14,0,8,0,0
18,2,7,0,0,20,2,5,1,0,20,2,4,1,0
12,1,6,0,1,12,1,7,0,1,11,1,7,0,1
N/A,N/A,N/A,N/A,N/A,17,3,5,1,0,16,3,4,1,0
6,4,6,0,6,5,4,8,1,6,6,3,9,2,5
5,0,7,0,1,6,0,6,0,1,8,0,5,1,2
5,0,2,0,1,6,0,2,0,1,7,0,2,0,1
13,1,5,1,2,14,1,5,1,3,14,0,4,2,4
8,1,11,2,3,8,1,10,2,3,10,0,8,2,2
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1,5,1,1
12,1,4,1,0,11,1,4,1,0,12,1,4,0,0
11,0,10,0,1,10,0,10,0,1,12,1,9,0,0
11,0,9,0,1,10,0,9,0,1,12,1,8,0,0
4,1,5,1,3,4,1,2,1,4,4,1,3,1,3
10,1,9,1,0,13,2,6,0,0,13,1,5,2,0
2,0,9,0,3,3,0,10,0,1,3,0,10,1,1
10,0,9,0,1,10,0,9,0,1,11,0,7,1,0
9,1,6,0,0,8,1,6,0,0,8,1,7,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,0,4,0,2
N/A,N/A,N/A,N/A,N/A,7,1,7,0,1,7,1,8,0,0
5,0,11,2,12,4,0,11,2,13,3,0,14,2,12
17,2,3,0,0,11,1,12,0,0,12,2,10,0,0
19,3,9,0,0,19,2,8,0,1,18,2,6,0,1
